requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"942","263","125","67924","67293","64698","56866","42623","0",
"942","264","125","67825","67293","64914","56908","42623","0",
"942","265","125","67725","67293","65123","56949","42623","0",
"942","266","125","67624","67293","65328","56989","42623","0",
"942","267","125","67520","67293","65526","57028","42623","0",
"942","268","125","67428","67293","65720","57067","42623","0",
"942","269","125","67328","67293","65908","57105","42623","0",
"993","270","126","72374","70447","66278","57162","42843","0",
"993","271","126","72273","70447","66636","57217","42843","0",
"993","272","126","72175","70447","66984","57272","42843","0",
"993","273","126","72075","70447","67321","57327","42843","0",
"993","274","126","71976","70447","67647","57380","42843","0",
"993","275","126","71876","70447","67963","57433","42843","0",
"993","276","126","71777","70447","68269","57485","42843","0",
"993","277","126","71677","70447","68566","57536","42843","0",
"993","278","126","71578","70447","68854","57587","42843","0",
"993","279","126","71478","70447","69132","57636","42843","0",
"993","280","126","71379","70447","69402","57685","42843","0",
"993","281","126","71270","70447","69664","57734","42843","0",
"993","282","126","71180","70447","69917","57781","42843","0",
"993","283","126","71069","70447","70163","57828","42843","0",
"993","284","126","70981","70447","70400","57875","42843","0",
"993","285","126","70868","70447","70631","57920","42843","0",
"993","286","126","70882","70447","70854","57966","42843","100",
"993","287","126","70869","70447","71070","58011","42843","200",
"993","288","126","70877","70447","71279","58055","42843","300",
"993","289","126","70886","70447","71482","58100","42843","400",
"1000","290","127","72749","70121","71660","58150","43058","500",
"1000","291","127","72749","70121","71833","58200","43058","600",
"1000","292","127","72750","70121","72000","58250","43058","700",
"1000","293","127","72751","70121","72162","58300","43058","800",
"1000","294","127","72752","70121","72318","58349","43058","900",
"1000","295","127","72740","70121","72470","58398","43058","1000",
"1000","296","127","72754","70121","72617","58446","43058","1100",
"1000","297","127","72744","70121","72759","58494","43058","1200",
"1000","298","127","72755","70121","72897","58542","43058","1300",
"1000","299","127","72751","70121","73030","58590","43058","1400",
"1000","300","127","72756","70121","73159","58637","43058","1500",
"1000","301","127","72756","70121","73284","58684","43058","1600",
"1000","302","127","72756","70121","73405","58730","43058","1700",
"1000","303","127","72757","70121","73522","58777","43058","1800",
"1000","304","127","72750","70121","73635","58823","43058","1900",
"1000","305","127","72757","70121","73745","58868","43058","2000",
"1000","306","127","72759","70121","73851","58914","43058","2100",
"1000","307","127","72750","70121","73953","58959","43058","2200",
"1000","308","127","72760","70121","74052","59004","43058","2300",
"1000","309","127","72752","70121","74148","59048","43058","2400",
"1000","310","127","72762","70121","74240","59092","43058","2500",
"1000","311","127","72753","70121","74330","59136","43058","2600",
"1000","312","128","73926","68797","74349","59184","43259","2700",
"1000","313","128","73927","68797","74366","59231","43259","2800",
"1000","314","128","73919","68797","74383","59277","43259","2900",
"1000","315","128","73931","68797","74400","59324","43259","3000",
"1000","316","128","73923","68797","74415","59370","43259","3100",
"1000","317","128","73931","68797","74430","59416","43259","3200",
"1000","318","128","73933","68797","74444","59462","43259","3300",
"1000","319","128","73934","68797","74458","59507","43259","3400",
"1000","320","128","73920","68797","74470","59552","43259","3500",
"1000","321","128","73928","68797","74483","59597","43259","3600",
"1000","322","128","73923","68797","74494","59641","43259","3700",
"1000","323","128","73930","68797","74505","59686","43259","3800",
"1000","324","128","73939","68797","74516","59730","43259","3900",
"1000","325","128","73933","68797","74525","59773","43259","4000",
"1000","326","128","73943","68797","74535","59817","43259","4100",
"1000","327","128","73931","68797","74544","59860","43259","4200",
"1000","328","128","73938","68797","74552","59903","43259","4300",
"1000","329","128","73948","68797","74560","59946","43259","4400",
"1000","330","128","73938","68797","74568","59988","43259","4500",
"1000","331","128","73949","68797","74575","60030","43259","4600",
"1000","332","128","73949","68797","74582","60072","43259","4700",
"1000","333","128","73951","68797","74588","60114","43259","4800",
"1000","334","128","73945","68797","74594","60155","43259","4900",
"1000","335","128","73952","68797","74600","60196","43259","5000",
"1000","336","128","73952","68797","74605","60237","43259","5100",
"1000","337","129","74389","66558","74503","60279","43440","5200",
"1000","338","129","74389","66558","74405","60321","43440","5300",
"1000","339","129","74380","66558","74309","60363","43440","5400",
"1000","340","129","74391","66558","74215","60404","43440","5500",
"1000","341","129","74378","66558","74124","60445","43440","5600",
"1000","342","129","74393","66558","74035","60486","43440","5700",
"1000","343","129","74394","66558","73949","60526","43440","5800",
"1000","344","129","74385","66558","73865","60566","43440","5900",
"1000","345","129","74396","66558","73784","60607","43440","6000",
"1000","346","129","74386","66558","73704","60646","43440","6100",
"1000","347","129","74398","66558","73627","60686","43440","6200",
"1000","348","129","74385","66558","73552","60725","43440","6300",
"1000","349","129","74392","66558","73479","60764","43440","6400",
"1000","350","129","74402","66558","73408","60803","43440","6500",
"1000","351","129","74393","66558","73338","60842","43440","6600",
"1000","352","129","74403","66558","73271","60881","43440","6700",
"1000","353","129","74404","66558","73206","60919","43440","6800",
"1000","354","129","74406","66558","73142","60957","43440","6900",
"1000","355","129","74407","66558","73081","60995","43440","7000",
"1000","356","129","74407","66558","73021","61033","43440","7100",
"1000","357","129","74408","66558","72962","61070","43440","7200",
"1000","358","129","74415","66558","72906","61107","43440","7300",
"1000","359","129","74416","66558","72851","61144","43440","7400",
"1000","360","129","74412","66558","72798","61181","43440","7500",
"1000","361","129","74418","66558","72746","61218","43440","7600",
"1000","362","129","74403","66558","72696","61254","43440","7700",
"1000","363","129","74410","66558","72647","61291","43440","7800",
"1000","364","130","74622","63591","72469","61327","43595","7900",
"1000","365","130","74609","63591","72296","61364","43595","8000",
"1000","366","130","74624","63591","72128","61400","43595","8100",
"1000","367","130","74614","63591","71964","61436","43595","8200",
"1000","368","130","74623","63591","71805","61472","43595","8300",
"1000","369","130","74613","63591","71650","61507","43595","8400",
"1000","370","130","74620","63591","71500","61543","43595","8500",
"1000","371","130","74629","63591","71354","61578","43595","8600",
"1000","372","130","74629","63591","71211","61613","43595","8700",
"1000","373","130","74631","63591","71073","61648","43595","8800",
"1000","374","130","74633","63591","70939","61683","43595","8900",
"1000","375","130","74634","63591","70808","61717","43595","9000",
"1000","376","130","74635","63591","70681","61752","43595","9100",
"1000","377","130","74635","63591","70558","61786","43595","9200",
"1000","378","130","74637","63591","70439","61820","43595","9300",
"1000","379","130","74638","63591","70323","61854","43595","9400",
"1000","380","130","74639","63591","70210","61887","43595","9500",
"1000","381","130","74631","63591","70100","61921","43595","9600",
"1000","382","130","74638","63591","69994","61954","43595","9700",
"1000","383","130","74644","63591","69891","61987","43595","9800",
"1000","384","130","74644","63591","69791","62020","43595","9900",
"1000","385","130","74645","63591","69694","62053","43595","10000",
"1000","386","130","74647","63591","69600","62086","43595","10100",
"1000","387","130","74648","63591","69509","62118","43595","10200",
"1000","388","130","74650","63591","69420","62150","43595","10300",
"1000","389","130","74653","63591","69335","62182","43595","10400",
"1000","390","130","74655","63591","69252","62214","43595","10500",
"1000","391","130","74654","63591","69171","62246","43595","10600",
"1000","392","130","74656","63591","69093","62278","43595","10700",
"1000","393","130","74656","63591","69018","62309","43595","10800",
"1000","394","130","74658","63591","68945","62341","43595","10900",
"1000","395","130","74659","63591","68875","62372","43595","11000",
